iter	Passed	Remaining
0	6	6848
1	12	6182
2	17	5828
3	23	5755
4	30	5970
5	36	6096
6	42	5979
7	47	5902
8	52	5795
9	58	5779
10	64	5799
11	69	5725
12	74	5680
13	80	5660
14	86	5672
15	92	5700
16	98	5673
17	103	5652
18	108	5599
19	113	5579
20	120	5619
21	125	5583
22	131	5569
23	136	5553
24	142	5554
25	149	5584
26	154	5562
27	159	5529
28	164	5505
29	169	5491
30	176	5519
31	181	5500
32	187	5479
33	191	5450
34	197	5446
35	204	5475
36	209	5462
37	215	5447
38	220	5434
39	226	5433
40	232	5443
41	237	5426
42	242	5406
43	247	5387
44	253	5378
45	260	5394
46	265	5374
47	270	5359
48	275	5348
49	280	5336
50	287	5353
51	292	5341
52	298	5326
53	303	5319
54	309	5316
55	316	5327
56	332	5504
57	338	5500
58	344	5500
59	351	5505
60	358	5518
61	365	5523
62	371	5523
63	377	5521
64	383	5523
65	391	5538
66	398	5549
67	414	5684
68	421	5680
69	427	5673
70	433	5669
71	439	5664
72	445	5661
73	452	5660
74	469	5785
75	475	5784
76	484	5802
77	491	5809
78	496	5793
79	502	5784
80	509	5780
81	515	5768
82	521	5762
83	527	5753
84	533	5746
85	540	5741
86	545	5724
87	551	5711
88	556	5692
89	561	5677
90	568	5675
91	573	5661
92	579	5647
93	584	5633
94	590	5626
95	597	5622
96	602	5604
97	607	5588
98	612	5572
99	618	5562
100	624	5555
101	629	5539
102	634	5528
103	640	5515
104	645	5502
105	651	5493
106	656	5477
107	661	5465
108	666	5452
109	672	5438
110	678	5432
111	683	5421
112	689	5412
113	695	5402
114	700	5393
115	707	5389
116	712	5380
117	729	5449
118	743	5504
119	749	5494
120	755	5490
121	761	5477
122	766	5462
123	772	5454
124	777	5444
125	784	5438
126	789	5424
127	794	5412
128	799	5398
129	805	5389
130	811	5383
131	816	5369
132	822	5358
133	827	5346
134	832	5336
135	839	5331
136	844	5320
137	850	5311
138	855	5299
139	860	5288
140	867	5285
141	873	5275
142	878	5264
143	883	5253
144	889	5244
145	896	5243
146	901	5232
147	906	5220
148	912	5211
149	918	5206
150	925	5201
151	930	5192
152	936	5182
153	941	5173
154	946	5161
155	953	5156
156	958	5145
157	964	5138
158	969	5127
159	975	5119
160	981	5114
161	986	5104
162	992	5095
163	997	5085
164	1003	5080
165	1010	5077
166	1016	5069
167	1021	5059
168	1027	5053
169	1033	5045
170	1040	5042
171	1045	5032
172	1050	5023
173	1055	5012
174	1061	5003
175	1068	5002
176	1073	4991
177	1078	4980
178	1083	4968
179	1088	4959
180	1094	4951
181	1099	4942
182	1104	4932
183	1109	4922
184	1115	4916
185	1122	4910
186	1127	4902
187	1132	4892
188	1137	4881
189	1143	4873
190	1149	4870
191	1154	4860
192	1160	4851
193	1165	4844
194	1171	4837
195	1178	4834
196	1183	4823
197	1188	4815
198	1194	4808
199	1199	4798
200	1206	4795
201	1212	4788
202	1217	4780
203	1222	4771
204	1227	4761
205	1234	4757
206	1239	4748
207	1244	4739
208	1249	4730
209	1254	4720
210	1260	4713
211	1265	4703
212	1271	4696
213	1276	4688
214	1281	4680
215	1288	4675
216	1293	4667
217	1299	4660
218	1304	4651
219	1309	4643
220	1316	4639
221	1321	4631
222	1326	4621
223	1331	4611
224	1336	4603
225	1342	4599
226	1348	4593
227	1355	4588
228	1360	4579
229	1366	4574
230	1372	4568
231	1378	4562
232	1383	4554
233	1388	4546
234	1395	4542
235	1402	4539
236	1408	4533
237	1413	4526
238	1418	4517
239	1425	4512
240	1431	4507
241	1436	4500
242	1442	4494
243	1447	4485
244	1453	4478
245	1460	4475
246	1465	4468
247	1471	4460
248	1476	4452
249	1481	4445
250	1488	4441
251	1493	4433
252	1499	4427
253	1505	4420
254	1510	4413
255	1517	4411
256	1523	4403
257	1528	4395
258	1533	4386
259	1539	4381
260	1545	4377
261	1551	4371
262	1557	4364
263	1562	4356
264	1569	4352
265	1576	4349
266	1581	4341
267	1587	4334
268	1592	4327
269	1597	4319
270	1604	4315
271	1609	4308
272	1614	4300
273	1621	4295
274	1626	4288
275	1633	4283
276	1638	4276
277	1643	4269
278	1649	4262
279	1654	4254
280	1661	4251
281	1667	4245
282	1673	4239
283	1679	4233
284	1685	4227
285	1691	4222
286	1696	4215
287	1702	4208
288	1707	4201
289	1713	4195
290	1724	4200
291	1732	4200
292	1738	4194
293	1743	4187
294	1749	4181
295	1756	4178
296	1762	4171
297	1767	4164
298	1773	4156
299	1778	4150
300	1785	4145
301	1790	4138
302	1795	4130
303	1801	4123
304	1807	4117
305	1813	4112
306	1819	4106
307	1824	4098
308	1830	4092
309	1835	4086
310	1841	4080
311	1847	4073
312	1853	4068
313	1861	4066
314	1867	4060
315	1874	4057
316	1880	4050
317	1885	4044
318	1891	4038
319	1897	4032
320	1904	4028
321	1910	4022
322	1915	4014
323	1920	4007
324	1926	4000
325	1932	3996
326	1938	3988
327	1943	3980
328	1948	3973
329	1954	3967
330	1960	3963
331	1966	3956
332	1972	3950
333	1977	3942
334	1983	3936
335	1989	3931
336	1994	3924
337	2000	3917
338	2006	3911
339	2011	3904
340	2017	3899
341	2023	3892
342	2028	3884
343	2033	3878
344	2039	3872
345	2045	3866
346	2050	3859
347	2056	3852
348	2061	3845
349	2066	3838
350	2073	3834
351	2079	3827
352	2084	3820
353	2089	3813
354	2094	3806
355	2101	3801
356	2107	3795
357	2112	3789
358	2118	3781
359	2124	3776
360	2129	3770
361	2135	3763
362	2140	3756
363	2145	3748
364	2150	3741
365	2157	3737
366	2162	3730
367	2167	3723
368	2173	3715
369	2178	3709
370	2185	3704
371	2190	3698
372	2195	3690
373	2201	3684
374	2206	3677
375	2212	3672
376	2217	3665
377	2223	3658
378	2228	3651
379	2233	3644
380	2240	3640
381	2245	3633
382	2251	3626
383	2256	3620
384	2262	3614
385	2269	3609
386	2274	3603
387	2280	3596
388	2285	3589
389	2291	3583
390	2297	3578
391	2302	3571
392	2307	3563
393	2312	3557
394	2318	3551
395	2325	3546
396	2330	3539
397	2335	3533
398	2340	3525
399	2346	3519
400	2352	3513
401	2357	3507
402	2363	3500
403	2368	3494
404	2373	3487
405	2380	3482
406	2385	3475
407	2391	3469
408	2395	3462
409	2401	3455
410	2408	3451
411	2413	3444
412	2419	3438
413	2424	3431
414	2430	3425
415	2436	3420
416	2442	3414
417	2447	3407
418	2452	3400
419	2458	3394
420	2464	3390
421	2470	3383
422	2476	3378
423	2481	3371
424	2487	3365
425	2493	3359
426	2498	3353
427	2504	3347
428	2510	3340
429	2516	3335
430	2522	3330
431	2527	3323
432	2532	3316
433	2538	3310
434	2544	3304
435	2550	3299
436	2556	3293
437	2561	3286
438	2566	3279
439	2572	3273
440	2578	3268
441	2583	3261
442	2589	3255
443	2594	3248
444	2599	3242
445	2606	3238
446	2611	3231
447	2617	3224
448	2622	3218
449	2628	3212
450	2635	3208
451	2640	3201
452	2645	3194
453	2650	3187
454	2655	3181
455	2661	3175
456	2666	3168
457	2671	3161
458	2677	3155
459	2683	3149
460	2689	3144
461	2695	3138
462	2700	3132
